"","ciudad","semana_ano","dia_semana_inicio","vegetacion_noreste","vegetacion_noroeste","vegetacion_sureste","vegetacion_suroeste","precipitacion","temperatura_aire","humedad_relativa","humedad_especifica","temperatura_promedio","temperatura_maxima","temperatura_minima","casos_totales"
"1","iq",26,"2000-07-01",0.1928857,0.1322571,0.3408857,0.2472,25.41,296.74,92.4185714286,16.6514285714,26.4,32.5,20.7,0
"2","iq",27,"2000-07-08",0.2168333,0.2761,0.2894571,0.2416571,60.61,296.634285714,93.5814285714,16.8628571429,26.9,34,20.8,0
"3","iq",28,"2000-07-15",0.1767571,0.1731286,0.2041143,0.1280143,55.52,296.415714286,95.8485714286,17.12,26.8,33,20.7,0
"4","iq",29,"2000-07-22",0.2277286,0.1454286,0.2542,0.2003143,5.6,295.357142857,87.2342857143,14.4314285714,25.7666666667,31.5,14.7,0
"5","iq",30,"2000-07-29",0.3286429,0.3221286,0.2543714,0.3610429,62.76,296.432857143,88.1614285714,15.4442857143,26.6,33.3,19.1,0
"6","iq",31,"2000-08-05",0.2055286,0.1907571,0.2316714,0.2553143,16.24,297.191428571,74.7285714286,13.4214285714,25.34,32,17,0
"7","iq",32,"2000-08-12",0.3124857,0.3299857,0.3805857,0.3872714,89.37,297.32,83.2757142857,15.3114285714,27.0166666667,34,19.9,0
"8","iq",33,"2000-08-19",0.3841333,0.39224,0.34178,0.38275,42.08,297.627142857,82.49,15.4657142857,26.5833333333,33,20.5,0
"9","iq",34,"2000-08-26",0.4081571,0.3221571,0.4067143,0.3027143,49.22,298.238571429,74.74,14.4442857143,26.9,34,19,0
"10","iq",35,"2000-09-02",0.3320429,0.3210571,0.3146143,0.3242571,53.65,299.218571429,74.1514285714,15.0571428571,27.1166666667,34,20,0
"11","iq",36,"2000-09-09",0.2955857,0.2956833,0.3122143,0.2659286,23.12,300.802857143,57.7871428571,12.6528571429,28.3666666667,35.8,21.7,1
"12","iq",37,"2000-09-16",0.2846571,0.3097571,0.3878833,0.3281571,34.62,299.858571429,71.66,15.2271428571,27.425,34.5,20.5,0
"13","iq",38,"2000-09-23",0.3488143,0.2957167,0.4048429,0.2425714,97.55,297.435714286,77.4871428571,14.3385714286,27.5333333333,36,20.5,0
"14","iq",39,"2000-09-30",0.1756857,0.09948333,0.2257143,0.1827857,95.89,299.355714286,71.4628571429,14.7985714286,27.15,34,20.5,0
"15","iq",40,"2000-10-07",0.33754,0.2769429,0.2775,0.25505,46.22,298.372857143,82.3714285714,16.1485714286,26.7,34,20,0
"16","iq",41,"2000-10-14",0.2235333,0.1339143,0.3498,0.1009167,31.1,298.474285714,81.5228571429,16.0714285714,27.6571428571,34,21,1
"17","iq",42,"2000-10-21",0.2748,0.1870571,0.3739429,0.2794714,25.21,299.211428571,75.54,15.5285714286,27.775,36,21,1
"18","iq",43,"2000-10-28",0.3673,0.30555,0.45538,0.3258,49.25,299.541428571,76.9414285714,16.1957142857,28,34.6,20,0
"19","iq",44,"2000-11-04",0.2951,0.21152,0.3044,0.2796167,67.64,299.44,79.4285714286,16.8685714286,27.6,35.5,21.1,0
"20","iq",45,"2000-11-11",0.2713667,0.1515667,0.34725,0.2318667,51.83,300.748571429,74.8028571429,16.8471428571,28.175,35.2,21.5,0
"21","iq",46,"2000-11-18",0.09993333,0.03586,0.1954857,0.06418333,39.25,301.637142857,67.1857142857,15.88,29.025,36.4,21.7,0
"22","iq",47,"2000-11-25",0.1699833,0.2893,0.3009833,0.1709167,55.91,300.872857143,66.0428571429,14.7685714286,27.7,36.5,21.5,0
"23","iq",48,"2000-12-02",0.2519714,0.2538,0.3235143,0.3191,20.65,299.23,78.8857142857,16.2442857143,27.05,34.2,21,0
"24","iq",49,"2000-12-09",0.1658333,0.1824143,0.2545667,0.18625,24.53,300.242857143,68.5571428571,14.9,28,34,22,0
"25","iq",50,"2000-12-16",0.3387857,0.3168286,0.3503429,0.2977,111.06,298.757142857,80.4085714286,16.0985714286,26.6166666667,33.8,21,1
"26","iq",51,"2000-12-23",0.2650143,0.1690571,0.2348667,0.3022429,3.9,300.411428571,60.6414285714,13.1885714286,28.2,35,21,0
"27","iq",1,"2001-01-01",0.2547143,0.2285286,0.2505857,0.287,59.11,297.958571429,94.9557142857,18.6728571429,27.3333333333,33.3,21.8,0
"28","iq",2,"2001-01-08",0.3021333,0.2035167,0.2674333,0.274,69.85,298.044285714,82.3471428571,15.8585714286,27,33.2,20.7,0
"29","iq",3,"2001-01-15",0.1747571,0.1033167,0.2582429,0.1767286,149.71,298.368571429,84.1757142857,16.6,27.05,33,20.5,0
"30","iq",4,"2001-01-22",0.2376,0.1912667,0.1258571,0.2314429,50.02,295.722857143,94.0571428571,16.0714285714,25.7166666667,31.2,20,0
"31","iq",5,"2001-01-29",0.3415,0.2606667,0.3293857,0.3690714,87.18,295.297142857,95.4071428571,15.86,26.4333333333,33,20,0
"32","iq",6,"2001-02-05",0.2335857,0.161,0.1966143,0.2267,31.93,295.511428571,89.08,14.9471428571,27.35,34.2,21.7,0
